@ NAME             %05s "TWISS"
@ TYPE             %05s "TWISS"
@ SEQUENCE         %07s "TOYRING"
@ PARTICLE         %06s "PROTON"
@ MASS             %le        0.9382720814
@ CHARGE           %le                   1
@ ENERGY           %le                 450
@ PC               %le         449.9990218
@ GAMMA            %le         479.6050196
@ KBUNCH           %le                   1
@ BCURRENT         %le     0.0001854170214
@ SIGE             %le                 2.5
@ SIGT             %le                   1
@ NPART            %le            1.05e+11
@ EX               %le                   1
@ EY               %le                   1
@ ET               %le               0.001
@ LENGTH           %le               27200
@ ALFA             %le     0.0007076705396
@ ORBIT5           %le      1.51472149e-17
@ GAMMATR          %le         37.59104872
@ Q1               %le           44.305721
@ Q2               %le         46.31582603
@ DQ1              %le                  15
@ DQ2              %le                  20
@ DXMAX            %le         5.600226603
@ DYMAX            %le                   0
@ XCOMAX           %le     1.524062507e-22
@ YCOMAX           %le                   0
@ BETXMAX          %le         7334.485462
@ BETYMAX          %le         1363.221934
@ XCORMS           %le     6.538487877e-23
@ YCORMS           %le                   0
@ DXRMS            %le          3.20032363
@ DYRMS            %le                   0
@ DELTAP           %le                   0
@ SYNCH_1          %le                   0
@ SYNCH_2          %le                   0
@ SYNCH_3          %le                   0
@ SYNCH_4          %le                   0
@ SYNCH_5          %le                   0
@ TITLE            %07s "Toyring"
@ ORIGIN           %16s "5.03.07 Linux 64"
@ DATE             %08s "24/02/18"
@ TIME             %08s "16.48.11"
* NAME               KEYWORD                             S                  L               BETX               BETY                 DX                 DY                  X                  Y              ANGLE                K0L                K1L                K2L 
$ %s                 %s                                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le 
 "MB_ARC0L_CELL2_1"  "MULTIPOLE"                        275                  0        80.66065882        106.5270863        4.299693437                  0   -5.166062252e-32                  0                  0         0.01707387                  0                  0
 "DRIFT_11"          "DRIFT"                            300                 25        121.1377404        44.52334763         5.59403157                  0   -6.721213002e-32                  0                  0                  0                  0                  0
 "QF_ARC0L_CELL3"    "MULTIPOLE"                        300                  0        121.1377404        44.52334763         5.59403157                  0   -6.721213002e-32                  0                  0                  0      0.02008686681                  0
 "SF_ARC0L_CELL3"    "MULTIPOLE"                        300                  0        121.1377404        44.52334763         5.59403157                  0   -6.721213002e-32                  0                  0                  0                  0        0.013466009
 "DRIFT_12"          "DRIFT"                            325                 25        65.94235903        64.14696787        4.079205525                  0   -4.901160992e-32                  0                  0                  0                  0                  0
 "MB_ARC0L_CELL3_0"  "MULTIPOLE"                        325                  0        65.94235903        64.14696787        4.079205525                  0   -4.901160992e-32                  0                  0         0.01707387                  0                  0
 "DRIFT_13"          "DRIFT"                            350                 25        41.67295048        112.1757698        2.991227159                  0   -3.593963252e-32                  0                  0                  0                  0                  0
 "QD_ARC0L_CELL3"    "MULTIPOLE"                        350                  0        41.67295048        112.1757698        2.991227159                  0   -3.593963252e-32                  0                  0                  0     -0.02023815963                  0
 "SD_ARC0L_CELL3"    "MULTIPOLE"                        350                  0        41.67295048        112.1757698        2.991227159                  0   -3.593963252e-32                  0                  0                  0                  0     -0.01945215921
 "DRIFT_14"          "DRIFT"                            375                 25        96.71089686        72.32778772         3.41667211                  0   -4.105145563e-32                  0                  0                  0                  0                  0
 "MB_ARC0L_CELL3_1"  "MULTIPOLE"                        375                  0        96.71089686        72.32778772         3.41667211                  0   -4.105145563e-32                  0                  0         0.01707387                  0                  0
 "DRIFT_15"          "DRIFT"                            400                 25        195.0991978        55.34416941        4.268964739                  0   -5.129182144e-32                  0                  0                  0                  0                  0
 "QF_ARC0L_CELL4"    "MULTIPOLE"                        400                  0        195.0991978        55.34416941        4.268964739                  0   -5.129182144e-32                  0                  0                  0      0.02008686681                  0
 "SF_ARC0L_CELL4"    "MULTIPOLE"                        400                  0        195.0991978        55.34416941        4.268964739                  0   -5.129182144e-32                  0                  0                  0                  0        0.013466009
 "DRIFT_16"          "DRIFT"                            425                 25        129.7982066        127.9781815        2.977504214                  0    -3.57748876e-32                  0                  0                  0                  0                  0
 "MB_ARC0L_CELL4_0"  "MULTIPOLE"                        425                  0        129.7982066        127.9781815        2.977504214                  0    -3.57748876e-32                  0                  0         0.01707387                  0                  0
 "DRIFT_17"          "DRIFT"                            450                 25        85.66143647        245.8139944        2.112891368                  0   -2.538649647e-32                  0                  0                  0                  0                  0
 "QD_ARC0L_CELL4"    "MULTIPOLE"                        450                  0        85.66143647        245.8139944        2.112891368                  0   -2.538649647e-32                  0                  0                  0     -0.02023815963                  0
 "SD_ARC0L_CELL4"    "MULTIPOLE"                        450                  0        85.66143647        245.8139944        2.112891368                  0   -2.538649647e-32                  0                  0                  0                  0     -0.01945215921
 "DRIFT_18"          "DRIFT"                            475                 25        154.3216881        151.9817368         2.31730434                  0   -2.784250453e-32                  0                  0                  0                  0                  0
 "MB_ARC0L_CELL4_1"  "MULTIPOLE"                        475                  0        154.3216881        151.9817368         2.31730434                  0   -2.784250453e-32                  0                  0         0.01707387                  0                  0
 "DRIFT_19"          "DRIFT"                            500                 25        254.0487796        87.09382273        2.948564991                  0    -3.54270553e-32                  0                  0                  0                  0                  0
 "QF_ARC0L_CELL5"    "MULTIPOLE"                        500                  0        254.0487796        87.09382273        2.948564991                  0    -3.54270553e-32                  0                  0                  0      0.02008686681                  0
 "SF_ARC0L_CELL5"    "MULTIPOLE"                        500                  0        254.0487796        87.09382273        2.948564991                  0    -3.54270553e-32                  0                  0                  0                  0        0.013466009
 "DRIFT_20"          "DRIFT"                            525                 25        135.8750506        135.2680012        2.099139835                  0   -2.522114253e-32                  0                  0                  0                  0                  0
 "MB_ARC0L_CELL5_0"  "MULTIPOLE"                        525                  0        135.8750506        135.2680012        2.099139835                  0   -2.522114253e-32                  0                  0         0.01707387                  0                  0
 "DRIFT_21"          "DRIFT"                            550                 25        61.13724083        205.6778193        1.676562356                  0   -2.014377247e-32                  0                  0                  0                  0                  0
 "QD_ARC0L_CELL5"    "MULTIPOLE"                        550                  0        61.13724083        205.6778193        1.676562356                  0   -2.014377247e-32                  0                  0                  0     -0.02023815963                  0
 "SD_ARC0L_CELL5"    "MULTIPOLE"                        550                  0        61.13724083        205.6778193        1.676562356                  0   -2.014377247e-32                  0                  0                  0                  0     -0.01945215921
 "DRIFT_22"          "DRIFT"                            575                 25        80.52549556        101.5983663        2.102248293                  0   -2.525822447e-32                  0                  0                  0                  0                  0
 "MB_ARC0L_CELL5_1"  "MULTIPOLE"                        575                  0        80.52549556        101.5983663        2.102248293                  0   -2.525822447e-32                  0                  0         0.01707387                  0                  0
 "DRIFT_23"          "DRIFT"                            600                 25        120.9994362        42.55878525        2.954781907                  0   -3.550121918e-32                  0                  0                  0                  0                  0
 "QF_ARC0L_CELL6"    "MULTIPOLE"                        600                  0        120.9994362        42.55878525        2.954781907                  0   -3.550121918e-32                  0                  0                  0      0.02008686681                  0
 "SF_ARC0L_CELL6"    "MULTIPOLE"                        600                  0        120.9994362        42.55878525        2.954781907                  0   -3.550121918e-32                  0                  0                  0                  0        0.013466009
 "DRIFT_24"          "DRIFT"                            625                 25        65.92810187         63.6958982        2.323507756                  0   -2.791650736e-32                  0                  0                  0                  0                  0
 "MB_ARC0L_CELL6_0"  "MULTIPOLE"                        625                  0        65.92810187         63.6958982        2.323507756                  0   -2.791650736e-32                  0                  0         0.01707387                  0                  0
 "DRIFT_25"          "DRIFT"                            650                 25         41.7304878        114.6592621        2.119081282                  0   -2.546033823e-32                  0                  0                  0                  0                  0
 "QD_ARC0L_CELL6"    "MULTIPOLE"                        650                  0         41.7304878        114.6592621        2.119081282                  0   -2.546033823e-32                  0                  0                  0     -0.02023815963                  0
 "SD_ARC0L_CELL6"    "MULTIPOLE"                        650                  0         41.7304878        114.6592621        2.119081282                  0   -2.546033823e-32                  0                  0                  0                  0     -0.01945215921
 "DRIFT_26"          "DRIFT"                            675                 25        96.88403341        75.44534223         2.98681244                  0   -3.588592885e-32                  0                  0                  0                  0                  0
 "MB_ARC0L_CELL6_1"  "MULTIPOLE"                        675                  0        96.88403341        75.44534223         2.98681244                  0   -3.588592885e-32                  0                  0         0.01707387                  0                  0
 "DRIFT_27"          "DRIFT"                            700                 25        195.4113509        58.09984863        4.281391275                  0   -5.144006216e-32                  0                  0                  0                  0                  0
 "QF_ARC0L_CELL7"    "MULTIPOLE"                        700                  0        195.4113509        58.09984863        4.281391275                  0   -5.144006216e-32                  0                  0                  0      0.02008686681                  0
 "SF_ARC0L_CELL7"    "MULTIPOLE"                        700                  0        195.4113509        58.09984863        4.281391275                  0   -5.144006216e-32                  0                  0                  0                  0        0.013466009
 "DRIFT_28"          "DRIFT"                            725                 25        129.9623122        132.4068239        3.425976702                  0   -4.116245354e-32                  0                  0                  0                  0                  0
 "MB_ARC0L_CELL7_0"  "MULTIPOLE"                        725                  0        129.9623122        132.4068239        3.425976702                  0   -4.116245354e-32                  0                  0         0.01707387                  0                  0
 "DRIFT_29"          "DRIFT"                            750                 25        85.70696752        251.4459184        2.997409808                  0   -3.601338762e-32                  0                  0                  0                  0                  0
 "QD_ARC0L_CELL7"    "MULTIPOLE"                        750                  0        85.70696752        251.4459184        2.997409808                  0   -3.601338762e-32                  0                  0                  0     -0.02023815963                  0
 "SD_ARC0L_CELL7"    "MULTIPOLE"                        750                  0        85.70696752        251.4459184        2.997409808                  0   -3.601338762e-32                  0                  0                  0                  0     -0.01945215921
 "DRIFT_30"          "DRIFT"                            775                 25        154.2833086        153.5999984        4.085394367                  0   -4.908543889e-32                  0                  0                  0                  0                  0
 "MB_ARC0L_CELL7_1"  "MULTIPOLE"                        775                  0        154.2833086        153.5999984        4.085394367                  0   -4.908543889e-32                  0                  0         0.01707387                  0                  0
