@ NAME             %05s "TWISS"
@ TYPE             %05s "TWISS"
@ SEQUENCE         %07s "TOYRING"
@ PARTICLE         %06s "PROTON"
@ MASS             %le        0.9382720814
@ CHARGE           %le                   1
@ ENERGY           %le                6500
@ PC               %le         6499.999932
@ GAMMA            %le         6927.628061
@ KBUNCH           %le                   1
@ BCURRENT         %le     0.0003940128751
@ SIGE             %le                 2.5
@ SIGT             %le                   1
@ NPART            %le            1.05e+11
@ EX               %le                   1
@ EY               %le                   1
@ ET               %le               0.001
@ LENGTH           %le                 900
@ ALFA             %le                   0
@ ORBIT5           %le                  -0
@ GAMMATR          %le                   0
@ Q1               %le         4.894504453
@ Q2               %le         4.900168516
@ DQ1              %le                   0
@ DQ2              %le                   0
@ DXMAX            %le       0.03079129418
@ DYMAX            %le                   0
@ XCOMAX           %le                   0
@ YCOMAX           %le                   0
@ BETXMAX          %le         172.6069388
@ BETYMAX          %le         172.4579012
@ XCORMS           %le                   0
@ YCORMS           %le                   0
@ DXRMS            %le       0.01850937628
@ DYRMS            %le                   0
@ DELTAP           %le                   0
@ SYNCH_1          %le                   0
@ SYNCH_2          %le                   0
@ SYNCH_3          %le                   0
@ SYNCH_4          %le                   0
@ SYNCH_5          %le                   0
@ TITLE            %07s "Toyring"
@ ORIGIN           %17s "5.03.07 Darwin 64"
@ DATE             %08s "10/02/18"
@ TIME             %08s "04.31.02"
* NAME                                S                  X                  Y                MUX               BETX                MUY               BETY                 DX                 DY              ANGLE                K0L                K1L               ALFX               ALFY 
$ %s                                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le 
 "DRIFT_158"                        550                  0                  0        4.303788398        56.63018233        4.308768867        172.4579012     -0.01521525025                  0                  0                  0                  0       0.5732407093       -1.745710248
 "QD1_SS0"                          550                  0                  0        4.303788398        56.63018233        4.308768867        172.4579012     -0.01521525025                  0                  0                  0     -0.02024505964      -0.5732407093        1.745710248
 "AT_IP0"                           550                  0                  0        4.303788398        56.63018233        4.308768867        172.4579012     -0.01521525025                  0                  0                  0                  0      -0.5732407093        1.745710248
 "DRIFT_159"                        600                  0                  0        4.388176406        172.6069388        4.393254531        56.56067799     -0.03079129418                  0                  0                  0                  0        -1.74629442       0.5722342165
 "QF1R_SS0"                         600                  0                  0        4.388176406        172.6069388        4.393254531        56.56067799     -0.03079129418                  0                  0                  0      0.02023434785         1.74629442      -0.5722342165
 "DRIFT_160"                        650                  0                  0        4.472564414        56.63018233        4.477740195        172.4579012     -0.01521525025                  0                  0                  0                  0       0.5732407093       -1.745710248
 "QD2R_SS0"                         650                  0                  0        4.472564414        56.63018233        4.477740195        172.4579012     -0.01521525025                  0                  0                  0     -0.02024505964      -0.5732407093        1.745710248
 "DRIFT_161"                        700                  0                  0        4.556952422        172.6069388         4.56222586        56.56067799     -0.01504088876                  0                  0                  0                  0        -1.74629442       0.5722342165
 "QF2R_SS0"                         700                  0                  0        4.556952422        172.6069388         4.56222586        56.56067799     -0.01504088876                  0                  0                  0      0.02023434785         1.74629442      -0.5722342165
 "DRIFT_162"                        750                  0                  0         4.64134043        56.63018233        4.646711524        172.4579012     0.000350601484                  0                  0                  0                  0       0.5732407093       -1.745710248
 "QD3R_SS0"                         750                  0                  0         4.64134043        56.63018233        4.646711524        172.4579012     0.000350601484                  0                  0                  0     -0.02024505964      -0.5732407093        1.745710248
 "DRIFT_163"                        800                  0                  0        4.725728437        172.6069388        4.731197188        56.56067799      0.01609698913                  0                  0                  0                  0        -1.74629442       0.5722342165
 "QF3R_SS0"                         800                  0                  0        4.725728437        172.6069388        4.731197188        56.56067799      0.01609698913                  0                  0                  0      0.02023434785         1.74629442      -0.5722342165
 "DRIFT_164"                        850                  0                  0        4.810116445        56.63018233        4.815682852        172.4579012      0.01555777291                  0                  0                  0                  0       0.5732407093       -1.745710248
 "QD4R_SS0"                         850                  0                  0        4.810116445        56.63018233        4.815682852        172.4579012      0.01555777291                  0                  0                  0     -0.02024505964      -0.5732407093        1.745710248
 "DRIFT_165"                        900                  0                  0        4.894504453        172.6069388        4.900168516        56.56067799       0.0307669587                  0                  0                  0                  0        -1.74629442       0.5722342165
 "AT_QF_SS0R_CELL0"                 900                  0                  0        4.894504453        172.6069388        4.900168516        56.56067799       0.0307669587                  0                  0                  0                  0        -1.74629442       0.5722342165
